RET_M1,CUSTOMER_ID,MES_BGI,MES_CLIENTE,YEAR_BGI,YEAR_CLIENTE,MES_COSECHA,YEAR_COSECHA,CLTE_COSECHA,ORD_ORDENES_TOTALES,ORD_ORDENES_COMPLETADAS,ORD_ORDENES_COMPLETADAS_A_TIEMPO,ORD_ORDENES_COMPLETADAS_CON_RETRASO,ORD_ORDENES_CANCELADAS,ORD_ORDENES_OTROS,MNT_TOTAL_GMV,MNT_TOTAL_DESCUENTO,MNT_TOTAL_COSTO_ENVIO,MNT_TOTAL_COSTO_SERVICIO,MNT_TOTAL_PROPINA,MNT_PROM_GMV,MNT_PROM_DESCUENTO,MNT_PROM_COSTO_ENVIO,MNT_PROM_PROM_SERVICIO,MNT_PROM_PROPINA,MDP_TOT_ORDENES_CASH,MDP_TOT_ORDENES_TDC,MDP_TOT_ORDENES_PAGO_DIGITAL,MDP_TOT_ORDENES_PAGO_DIGITAL_RAPPI,MDP_TOT_TARJETA_DEBITO,MDP_TOT_TDC_NACIONAL,MDP_TOT_TDC_INTERNACIONAL,EXP_TIEMPO_ESPERA_EFECTIVO_M,EXP_TIEMPO_ESPERA_PROMETIDO_M,EXP_KPI_TIEMPO_ESPERA,EXP_ORDEN_CON_RECLAMO,EXP_ORDEN_SIN_RECLAMO,EXP_ORDENES_WEB,EXP_ORDENES_ANDROID,EXP_ORDENES_IOS
0,1912923850,11,10,2021,2021,10,2021,1,1,1,1,0,0,0,35800,28500,7300,4286,0,35800,28500,7300,4286,0,1,0,0,0,0,0,0,32,39,0.8205128205,0,1,0,1,0
0,1912928994,11,10,2021,2021,10,2021,1,3,3,2,1,0,0,378097,92650,24100,14892,18000,126032.3333,30883.33333,8033.333333,4964,6000,0,3,0,0,0,0,3,52,57,0.9465596515,0,3,0,0,3
0,1912930026,10,9,2021,2021,9,2021,1,3,3,0,3,0,0,129189,127500,22500,7428,6000,43063,42500,7500,2476,2000,3,0,0,0,0,0,0,147,130,1.130769231,2,1,0,3,0
0,1912948995,11,10,2021,2021,10,2021,1,1,1,1,0,0,0,45315,27000,8500,4555,2000,45315,27000,8500,4555,2000,1,0,0,0,0,0,0,37,60,0.6166666667,0,1,0,1,0
0,1912956034,10,9,2021,2021,9,2021,1,3,3,3,0,0,0,50235,22500,22500,12765,6000,16745,7500,7500,4255,2000,3,0,0,0,0,0,0,70,114,0.6140350877,2,1,0,3,0
0,1912957015,2,1,2022,2022,1,2022,1,4,2,2,0,2,0,46800,0,13800,15926,0,23400,0,6900,7963,0,0,0,2,0,0,0,0,43,101,0.4095238095,2,2,0,0,4
0,1912999838,10,9,2021,2021,9,2021,1,1,1,1,0,0,0,66900,37700,8500,9209,0,66900,37700,8500,9209,0,1,0,0,0,0,0,0,81,185,0.4378378378,0,1,0,0,1
0,1913023709,11,10,2021,2021,10,2021,1,1,1,1,0,0,0,34500,0,8500,9163,2000,34500,0,8500,9163,2000,1,0,0,0,0,0,0,60,80,0.75,0,1,0,0,1
0,1913026153,11,10,2021,2021,10,2021,1,2,2,0,2,0,0,131760,105800,15000,8042,0,65880,52900,7500,4021,0,0,2,0,0,0,0,2,100,84,1.19047619,1,1,0,2,0
1,1913035018,10,9,2021,2021,9,2021,1,1,1,1,0,0,0,32902.26,0,5200,4421,3000,32902.26,0,5200,4421,3000,1,0,0,0,0,0,0,33,125,0.264,0,1,0,0,1
